Year,Type,Authors,Publication,Volume,Pages,ISSN,Title,Impreso,PDF,Group,DOI,Type II,Proyect ID,Institution Authors,Colciencias Clasification,Impact Factor,Proyecto,NPages,First_UdeA_Author,Año,Tipo,Autor(es),Artículo,Vol.,pág.,Revista,Grupo,Clasificación Colciencias,Factor de Impacto,Area,Cites,Simple,Estudiantes
2003,Internacional,"Barrero, CA; Vandenberghe, RE; De Grave, Eddy; Morales, AL; Perez, G; ",Hyperfine Interactions,148,337.0,0304-3843,The experimental nuclear quadrupole interaction in synthetic Al-goethites of varying crystallinity,,,GES: Estado Sólido,10.1023/B:HYPE.0000003796.91461.8a,,,Barrero Meneses César A.; Morales Aramburo Álvaro,C,"-1,0",,8.0,Barrero Meneses César A.,2003,Internacional,"Barrero, CA; Vandenberghe, RE; De Grave, Eddy; Morales, AL; Perez, G; ",The experimental nuclear quadrupole interaction in synthetic Al-goethites of varying crystallinity,148,337.0,Hyperfine Interactions,GES: Estado Sólido,C,"-1,0",Experimental,3,theexperimentalnuclearquadrupoleinteractioninsyntheticalgoethitesofvaryingcrystallinity,Desconocido
2009,Nacional,"Castaño, Johanna; Restrepo, Iván; Calderón, Jorge; Morales, Álvaro; Echavarría, Alejandro; ",Revista Facultad de Ingeniería Universidad de Antioquia,0,17.0,0120-6230,Evaluación de la influencia del cobre y el níquel en la cinética de corrosión de los aceros autoprotectores por espectroscopía de impedancia in situ y ex situ,,,GES: Estado Sólido,Not DOI,,,Morales Aramburo Álvaro,A1,"-1,0",,14.0,Morales Aramburo Álvaro,2009,Nacional,"Castaño, Johanna; Restrepo, Iván; Calderón, Jorge; Morales, Álvaro; Echavarría, Alejandro; ",Evaluación de la influencia del cobre y el níquel en la cinética de corrosión de los aceros autoprotectores por espectroscopía de impedancia in situ y ex situ,0,17.0,Revista Facultad de Ingeniería Universidad de Antioquia,GES: Estado Sólido,A1,"-1,0",Teórica,1,evaluacindelainfluenciadelcobreyelnquelenlacinticadecorrosindelosacerosautoprotectoresporespectroscopadeimpedanciainsituyexsitu,Desconocido
2003,Internacional,"Pérez, G; Barrero, C; Morales, A; Tobon, J; Garnache, O; Rodríguez, C; Arroyave, C; ",Revista de Metalurgia,39,68.0,0034-8570,"Óxidos de hierro relacionados con la corrosión: hematitas dopadas con Cu, Mn y Cr",,,GES: Estado Sólido,Not DOI,,,Barrero Meneses César A.; Morales Aramburo Álvaro,A2,"-1,0",,4.0,Barrero Meneses César A.,2003,Internacional,"Pérez, G; Barrero, C; Morales, A; Tobon, J; Garnache, O; Rodríguez, C; Arroyave, C; ","Óxidos de hierro relacionados con la corrosión: hematitas dopadas con Cu, Mn y Cr",39,68.0,Revista de Metalurgia,GES: Estado Sólido,A2,"-1,0",Experimental,0,xidosdehierrorelacionadosconlacorrosinhematitasdopadasconcumnycr,Desconocido
2005,Nacional,"Beltrána, JJ; Novegil-Anleob, FJ; Minotasb, J; Garcíab, KE; Morales, AL; Péreza, G; Tobóna, J; Barrero, CA; ",Revista Colombiana de Física,37,211.0,0120-2650,Comportamiento de óxihidroxidos de hierro en soluciones que contienen acidos tánico y fosfórico,,,GES: Estado Sólido,Not DOI,,,Morales Aramburo Álvaro; Barrero Meneses César A.,B,"-1,0",,-1.0,Morales Aramburo Álvaro,2005,Nacional,"Beltrána, JJ; Novegil-Anleob, FJ; Minotasb, J; Garcíab, KE; Morales, AL; Péreza, G; Tobóna, J; Barrero, CA; ",Comportamiento de óxihidroxidos de hierro en soluciones que contienen acidos tánico y fosfórico,37,211.0,Revista Colombiana de Física,GES: Estado Sólido,B,"-1,0",Teórica,0,comportamientodexihidroxidosdehierroensolucionesquecontienenacidostnicoyfosfrico,Desconocido
2009,Nacional,"García, Karen Edilma; Barrero, Cesar Augusto; Morales, Alvaro Luis; Greneche, Jean-Marc; ",Revista Facultad de Ingeniería Universidad de Antioquia,0,185.0,0120-6230,Magnetic structure of synthetic akaganeite: A review of Mössbauer data,,,GES: Estado Sólido,Not DOI,,,Morales Aramburo Álvaro,A1,"-1,0",,7.0,Morales Aramburo Álvaro,2009,Nacional,"García, Karen Edilma; Barrero, Cesar Augusto; Morales, Alvaro Luis; Greneche, Jean-Marc; ",Magnetic structure of synthetic akaganeite: A review of Mössbauer data,0,185.0,Revista Facultad de Ingeniería Universidad de Antioquia,GES: Estado Sólido,A1,"-1,0",Teórica,3,magneticstructureofsyntheticakaganeiteareviewofmssbauerdata,Desconocido
2003,Internacional,"Bolivar, F; Barrero, CA; Minotas, J; Morales, AL; Greneche, J-M; ",Hyperfine Interactions,148,219.0,0304-3843,Variable temperature mössbauer study of some rust converters,,,GES: Estado Sólido,Not DOI,,,Barrero Meneses César A.; Morales Aramburo Álvaro,C,"-1,0",,7.0,Barrero Meneses César A.,2003,Internacional,"Bolivar, F; Barrero, CA; Minotas, J; Morales, AL; Greneche, J-M; ",Variable temperature mössbauer study of some rust converters,148,219.0,Hyperfine Interactions,GES: Estado Sólido,C,"-1,0",Experimental,3,variabletemperaturemssbauerstudyofsomerustconverters,Desconocido
2011,Internacional,"Arroyo, Raúl A; Aguilar, Yesid; Morales, Alvaro; Pérez Alcázar, AG; ",Revista de Ciencias,10,59.0,0011-5258,Estudio Metalúrgico de la Solubilidad del Acero Estructural Al C-Mn de Alta Resistencia ASTM a 615-60,,,GES: Estado Sólido,Not DOI,,,Morales Aramburo Álvaro,A1,"-1,0",,9.0,Morales Aramburo Álvaro,2011,Internacional,"Arroyo, Raúl A; Aguilar, Yesid; Morales, Alvaro; Pérez Alcázar, AG; ",Estudio Metalúrgico de la Solubilidad del Acero Estructural Al C-Mn de Alta Resistencia ASTM a 615-60,10,59.0,Revista de Ciencias,GES: Estado Sólido,A1,"-1,0",Teórica,0,estudiometalrgicodelasolubilidaddelaceroestructuralalcmndealtaresistenciaastma61560,Desconocido
2011,Internacional,"Urquijo, JP; Casanova, Herley; Garces, Javier; Morales, Alvaro L; ",Hyperfine Interactions,203,85.0,0304-3843,Synthesis of magnetic nanoparticles: effects of polyelectrolyte concentration and pH,,,GES: Estado Sólido,10.1007/978-94-007-4301-4_32,,,Morales Aramburo Álvaro,C,"-1,0",,7.0,Morales Aramburo Álvaro,2011,Internacional,"Urquijo, JP; Casanova, Herley; Garces, Javier; Morales, Alvaro L; ",Synthesis of magnetic nanoparticles: effects of polyelectrolyte concentration and pH,203,85.0,Hyperfine Interactions,GES: Estado Sólido,C,"-1,0",Teórica,2,synthesisofmagneticnanoparticleseffectsofpolyelectrolyteconcentrationandph,Jeaneth Patricia Urquijo Morales
2011,Internacional,"Morales, AL; Velásquez, AA; Urquijo, JP; Baggio, E; ",Hyperfine Interactions,203,75.0,0304-3843,Synthesis and characterization of Cu2+ substituted magnetite,,,GES: Estado Sólido,10.1007/978-94-007-4301-4_31,,,Morales Aramburo Álvaro,C,"-1,0",,10.0,Morales Aramburo Álvaro,2011,Internacional,"Morales, AL; Velásquez, AA; Urquijo, JP; Baggio, E; ",Synthesis and characterization of Cu2+ substituted magnetite,203,75.0,Hyperfine Interactions,GES: Estado Sólido,C,"-1,0",Teórica,4,synthesisandcharacterizationofcu2substitutedmagnetite,Jeaneth Patricia Urquijo Morales
1983,Internacional,"Almbladh, C-O; Morales, AL; ",Physical Review B,28,7362.0,1098-0121,Phonon effects in deep-level spectra of metals: Beyond the linear-screening and linear-coupling models,,,GES: Estado Sólido,10.1103/PhysRevB.28.7362,,,Morales Aramburo Álvaro,A1,"3,322",,-1.0,Morales Aramburo Álvaro,1983,Internacional,"Almbladh, C-O; Morales, AL; ",Phonon effects in deep-level spectra of metals: Beyond the linear-screening and linear-coupling models,28,7362.0,Physical Review B,GES: Estado Sólido,A1,"3,322",Teórica,0,phononeffectsindeeplevelspectraofmetalsbeyondthelinearscreeningandlinearcouplingmodels,Desconocido
2011,Nacional,"Mejía, E; Ospina, JD; Osorno, BL; Márquez, MA; Morales, AL; ",Revista Colombiana de Biotecnología,13,132.0,0123-3475,"Adaptación de una cepa compatible con Acidithiobacillus ferrooxidans sobre concentrados de calcopirita (CuFeS2), esfalerita (ZnS) y galena (PbS)",,,GES: Estado Sólido,Not DOI,,,Morales Aramburo Álvaro,A2,"-1,0",,-1.0,Morales Aramburo Álvaro,2011,Nacional,"Mejía, E; Ospina, JD; Osorno, BL; Márquez, MA; Morales, AL; ","Adaptación de una cepa compatible con Acidithiobacillus ferrooxidans sobre concentrados de calcopirita (CuFeS2), esfalerita (ZnS) y galena (PbS)",13,132.0,Revista Colombiana de Biotecnología,GES: Estado Sólido,A2,"-1,0",Teórica,0,adaptacindeunacepacompatibleconacidithiobacillusferrooxidanssobreconcentradosdecalcopiritacufes2esfaleritaznsygalenapbs,Desconocido
2010,Internacional,"MORILLO, VIVIANA; SALAZAR, ALEJANDRO; MÁRQUEZ, MARCO; MORALES, ALVARO; LINS, ULYSSES; ",Dyna,77,93.0,0930-7575,CRISTALES BIOGÉNICOS DE MAGNETOCOCOS DE LA REPRESA LA FE Y LAGO CALIMA (COLOMBIA),,,GES: Estado Sólido,Not DOI,,,Morales Aramburo Álvaro,A1,"3,917",,11.0,Morales Aramburo Álvaro,2010,Internacional,"MORILLO, VIVIANA; SALAZAR, ALEJANDRO; MÁRQUEZ, MARCO; MORALES, ALVARO; LINS, ULYSSES; ",CRISTALES BIOGÉNICOS DE MAGNETOCOCOS DE LA REPRESA LA FE Y LAGO CALIMA (COLOMBIA),77,93.0,Dyna,GES: Estado Sólido,A1,"3,917",Teórica,1,cristalesbiognicosdemagnetococosdelarepresalafeylagocalimacolombia,Desconocido
2009,Nacional,"Castaño, Johanna; Restrepo, Iván; Calderón, Jorge; Morales, Álvaro; Echavarría, Alejandro; ",Revista Facultad de Ingeniería Universidad de Antioquia,0,17.0,0120-6230,Assesment of the influence of copper and nickel on the corrosion kinetics of weathering steels by in situ and ex situ impedance spectroscopy,,,GES: Estado Sólido,Not DOI,,,Morales Aramburo Álvaro,A1,"-1,0",,14.0,Morales Aramburo Álvaro,2009,Nacional,"Castaño, Johanna; Restrepo, Iván; Calderón, Jorge; Morales, Álvaro; Echavarría, Alejandro; ",Assesment of the influence of copper and nickel on the corrosion kinetics of weathering steels by in situ and ex situ impedance spectroscopy,0,17.0,Revista Facultad de Ingeniería Universidad de Antioquia,GES: Estado Sólido,A1,"-1,0",Teórica,0,assesmentoftheinfluenceofcopperandnickelonthecorrosionkineticsofweatheringsteelsbyinsituandexsituimpedancespectroscopy,Desconocido
2003,Internacional,"Barrero, CA; Rios, JF; Morales, AL; Bohórquez, A; Pérez-Alcazar, G; ",Hyperfine Interactions,148,211.0,0304-3843,On the analysis of the Mössbauer spectra of the rust converted by tannic and phosphoric acids,,,GES: Estado Sólido,Not DOI,,,Barrero Meneses César A.; Morales Aramburo Álvaro,C,"-1,0",,7.0,Barrero Meneses César A.,2003,Internacional,"Barrero, CA; Rios, JF; Morales, AL; Bohórquez, A; Pérez-Alcazar, G; ",On the analysis of the Mössbauer spectra of the rust converted by tannic and phosphoric acids,148,211.0,Hyperfine Interactions,GES: Estado Sólido,C,"-1,0",Experimental,3,ontheanalysisofthemssbauerspectraoftherustconvertedbytannicandphosphoricacids,Desconocido
2009,Internacional,"Mejía, ER; Ospina, JD; Márquez, MA; Morales, AL; ",Advanced Materials Research,71,385.0,1022-6680,Oxidation of chalcopyrite (CuFeS2) by Acidithiobacillus ferrooxidans and a mixed culture of Acidithiobacillus ferrooxidans and Acidithiobacillus thiooxidans like bacterium in shake flasks,,,GES: Estado Sólido,Not DOI,,,Morales Aramburo Álvaro,C,"-1,0",,4.0,Morales Aramburo Álvaro,2009,Internacional,"Mejía, ER; Ospina, JD; Márquez, MA; Morales, AL; ",Oxidation of chalcopyrite (CuFeS2) by Acidithiobacillus ferrooxidans and a mixed culture of Acidithiobacillus ferrooxidans and Acidithiobacillus thiooxidans like bacterium in shake flasks,71,385.0,Advanced Materials Research,GES: Estado Sólido,C,"-1,0",Teórica,3,oxidationofchalcopyritecufes2byacidithiobacillusferrooxidansandamixedcultureofacidithiobacillusferrooxidansandacidithiobacillusthiooxidanslikebacteriuminshakeflasks,Desconocido
2003,Internacional,"Morales, AL; ",Revista de Metalurgia,39,28.0,0034-8570,Estudio por difracción de rayos X de los productos de corrosión del acero al carbono,,,GES: Estado Sólido,Not DOI,,,Morales Aramburo Álvaro,A2,"-1,0",,4.0,Morales Aramburo Álvaro,2003,Internacional,"Morales, AL; ",Estudio por difracción de rayos X de los productos de corrosión del acero al carbono,39,28.0,Revista de Metalurgia,GES: Estado Sólido,A2,"-1,0",Teórica,0,estudiopordifraccinderayosxdelosproductosdecorrosindelaceroalcarbono,Desconocido
2001,Nacional,"Pérez, G; Barrero, CA; Morales, AL; ",Revista Colombiana de Física,33,,0120-2650,LA INTERACCIÓN CUADRUPOLAR ELÉCTRICA DE LA GOETHITA,,,GES: Estado Sólido,Not DOI,,,Barrero Meneses César A.; Morales Aramburo Álvaro,B,"-1,0",,,Barrero Meneses César A.,2001,Nacional,"Pérez, G; Barrero, CA; Morales, AL; ",LA INTERACCIÓN CUADRUPOLAR ELÉCTRICA DE LA GOETHITA,33,,Revista Colombiana de Física,GES: Estado Sólido,B,"-1,0",Experimental,0,lainteraccincuadrupolarelctricadelagoethita,Desconocido
2003,Internacional,"Bolivar, F; Morales, A; Arroyave, C; ",Revista de Metalurgia,39,265.0,0034-8570,Simulación de los procesos de corrosión atmosférica durante largos períodos de tiempo de un acero autoprotector y ordinario,,,GES: Estado Sólido,Not DOI,,,Morales Aramburo Álvaro,A2,"-1,0",,5.0,Morales Aramburo Álvaro,2003,Internacional,"Bolivar, F; Morales, A; Arroyave, C; ",Simulación de los procesos de corrosión atmosférica durante largos períodos de tiempo de un acero autoprotector y ordinario,39,265.0,Revista de Metalurgia,GES: Estado Sólido,A2,"-1,0",Teórica,0,simulacindelosprocesosdecorrosinatmosfricadurantelargosperodosdetiempodeunaceroautoprotectoryordinario,Desconocido
2008,Internacional,"Osorio, Jaime; Uribe, Juan; Barrero, Cesar; Girata, Doris; Morales, Alvaro; Hoffmann, Axel; Gancedo, Ramon; ",APS March Meeting Abstracts,1,1307.0,0000-0000,Magnetical studies on thin films of iron oxides,,,GES: Estado Sólido,Not DOI,,,Osorio Vélez Jaime; Barrero Meneses César A.; Morales Aramburo Álvaro,00,"-1,0",,-1.0,Osorio Vélez Jaime,2008,Internacional,"Osorio, Jaime; Uribe, Juan; Barrero, Cesar; Girata, Doris; Morales, Alvaro; Hoffmann, Axel; Gancedo, Ramon; ",Magnetical studies on thin films of iron oxides,1,1307.0,APS March Meeting Abstracts,GES: Estado Sólido,00,"-1,0",Experimental,0,magneticalstudiesonthinfilmsofironoxides,Juan David Uribe Vélez
2006,Nacional,"García, KE; Barrero, CA; Morales, AL; Greneche, JM; ",Revista Colombiana de Física,38,,0120-2650,RE-INTERPRETACIÓN DEL ESPECTRO MÖSSBAUER DE LA AKAGANEITA,,,GES: Estado Sólido,Not DOI,,,Barrero Meneses César A.; Morales Aramburo Álvaro,B,"-1,0",,,Barrero Meneses César A.,2006,Nacional,"García, KE; Barrero, CA; Morales, AL; Greneche, JM; ",RE-INTERPRETACIÓN DEL ESPECTRO MÖSSBAUER DE LA AKAGANEITA,38,,Revista Colombiana de Física,GES: Estado Sólido,B,"-1,0",Experimental,0,reinterpretacindelespectromssbauerdelaakaganeita,Desconocido
2005,Nacional,"Novegil-Anleo, FJ; Beltrán, JJ; Minotas, J; García, KE; Morales, AL; Pérez, G; Tobón, J; Barrero, CA; ",Revista Colombiana de Física,37,203.0,0120-2650,Acción de los convertidores de herrumbre en óxidos de hierro,,,GES: Estado Sólido,Not DOI,,,Morales Aramburo Álvaro; Barrero Meneses César A.,B,"-1,0",,4.0,Morales Aramburo Álvaro,2005,Nacional,"Novegil-Anleo, FJ; Beltrán, JJ; Minotas, J; García, KE; Morales, AL; Pérez, G; Tobón, J; Barrero, CA; ",Acción de los convertidores de herrumbre en óxidos de hierro,37,203.0,Revista Colombiana de Física,GES: Estado Sólido,B,"-1,0",Teórica,1,accindelosconvertidoresdeherrumbreenxidosdehierro,Desconocido
2010,Internacional,"Morillo, Viviana; Salazar, Alejandro; Marquez, Marco; Morales, Alvaro; Lins, Ulysses; ",Dyna,77,93.0,0930-7575,BIOGENIC CRYSTALS OF MAGNETOCOCCUS FROM LA FE DAM AND CALIMA LAKE (COLOMBIA),,,GES: Estado Sólido,Not DOI,,,Morales Aramburo Álvaro,A1,"3,917",,11.0,Morales Aramburo Álvaro,2010,Internacional,"Morillo, Viviana; Salazar, Alejandro; Marquez, Marco; Morales, Alvaro; Lins, Ulysses; ",BIOGENIC CRYSTALS OF MAGNETOCOCCUS FROM LA FE DAM AND CALIMA LAKE (COLOMBIA),77,93.0,Dyna,GES: Estado Sólido,A1,"3,917",Teórica,0,biogeniccrystalsofmagnetococcusfromlafedamandcalimalakecolombia,Desconocido
2004,Nacional,"Hamann, JE; Pérez, G; Barrero, CA; Morales, AL; Da Costa, GM; ",Revista Colombiana de Física,36,,0120-2650,CARACTERIZACIÓN DE HEMATITAS DOPADAS CON Zn OBTENIDAS A PAR-TIR DE OXINATOS DE Fe-Zn TRATADOS TÉRMICAMENTE.,,,GES: Estado Sólido,Not DOI,,,Barrero Meneses César A.; Morales Aramburo Álvaro,B,"-1,0",,,Barrero Meneses César A.,2004,Nacional,"Hamann, JE; Pérez, G; Barrero, CA; Morales, AL; Da Costa, GM; ",CARACTERIZACIÓN DE HEMATITAS DOPADAS CON Zn OBTENIDAS A PAR-TIR DE OXINATOS DE Fe-Zn TRATADOS TÉRMICAMENTE.,36,,Revista Colombiana de Física,GES: Estado Sólido,B,"-1,0",Experimental,0,caracterizacindehematitasdopadasconznobtenidasapartirdeoxinatosdefezntratadostrmicamente,Desconocido
2011,Internacional,"Barrero, CA; García, KE; Morales, AL; Greneche, JM; ",Corrosion Science,53,769.0,0010-938X,A proposal to evaluate the amount of corroded iron converted into adherent rust in steels exposed to corrosion,,,GES: Estado Sólido,10.1016/j.corsci.2010.11.003,,,Barrero Meneses César A.; Morales Aramburo Álvaro,A1,"3,261",,7.0,Barrero Meneses César A.,2011,Internacional,"Barrero, CA; García, KE; Morales, AL; Greneche, JM; ",A proposal to evaluate the amount of corroded iron converted into adherent rust in steels exposed to corrosion,53,769.0,Corrosion Science,GES: Estado Sólido,A1,"3,261",Experimental,5,aproposaltoevaluatetheamountofcorrodedironconvertedintoadherentrustinsteelsexposedtocorrosion,Desconocido
2009,Nacional,"Urquijo, J; Morales, AL; Casanova, H; Garces, J; ",Revista Colombiana de Física,41,99.0,0120-2650,Preparación y Caracterización de un Ferrofluido,,,GES: Estado Sólido,Not DOI,,,Morales Aramburo Álvaro,B,"-1,0",,3.0,Morales Aramburo Álvaro,2009,Nacional,"Urquijo, J; Morales, AL; Casanova, H; Garces, J; ",Preparación y Caracterización de un Ferrofluido,41,99.0,Revista Colombiana de Física,GES: Estado Sólido,B,"-1,0",Teórica,1,preparacinycaracterizacindeunferrofluido,Jeaneth Patricia Urquijo Morales
2004,Nacional,"Morales, Álvaro L; ","Revista de la Academia Colombiana de Ciencias Exactas, Físicas y Naturales",28,,0370-3908,LA CIENCIA DE SIMULAR PROPIEDADES DE MATERIALES,,,GES: Estado Sólido,Not DOI,,,Morales Aramburo Álvaro,A2,"-1,0",,,Morales Aramburo Álvaro,2004,Nacional,"Morales, Álvaro L; ",LA CIENCIA DE SIMULAR PROPIEDADES DE MATERIALES,28,,"Revista de la Academia Colombiana de Ciencias Exactas, Físicas y Naturales",GES: Estado Sólido,A2,"-1,0",Teórica,2,lacienciadesimularpropiedadesdemateriales,Desconocido
2011,Internacional,"Salazar, Alejandro; Morales, Alvaro; Marquez, Marco; ",Dyna,78,72.0,0930-7575,Characterization of natural microcosms of estuarine magnetotactic bacteria,,,GES: Estado Sólido,Not DOI,,,Morales Aramburo Álvaro,A1,"3,843",,9.0,Morales Aramburo Álvaro,2011,Internacional,"Salazar, Alejandro; Morales, Alvaro; Marquez, Marco; ",Characterization of natural microcosms of estuarine magnetotactic bacteria,78,72.0,Dyna,GES: Estado Sólido,A1,"3,843",Teórica,2,characterizationofnaturalmicrocosmsofestuarinemagnetotacticbacteria,Desconocido
2005,Internacional,"Velásquez, AA; Gancedo, JR; Trujillo, JM; Morales, AL; Tobón, JE; Reyes, L; ",INDUSTRIAL APPLICATIONS OF THE MOSSBAUER EFFECT: International Symposium on the Industrial Applications of the Mossbauer Effect,765,389.0,0000-0000,Design and Construction of an Autonomous Low‐Cost Pulse Height Analyzer and a Single Channel Analyzer for Mössbauer Spectroscopy,,,GES: Estado Sólido,Not DOI,,,Morales Aramburo Álvaro,00,"-1,0",,6.0,Morales Aramburo Álvaro,2005,Internacional,"Velásquez, AA; Gancedo, JR; Trujillo, JM; Morales, AL; Tobón, JE; Reyes, L; ",Design and Construction of an Autonomous Low‐Cost Pulse Height Analyzer and a Single Channel Analyzer for Mössbauer Spectroscopy,765,389.0,INDUSTRIAL APPLICATIONS OF THE MOSSBAUER EFFECT: International Symposium on the Industrial Applications of the Mossbauer Effect,GES: Estado Sólido,00,"-1,0",Teórica,1,designandconstructionofanautonomouslowcostpulseheightanalyzerandasinglechannelanalyzerformssbauerspectroscopy,Desconocido
2000,Internacional,"Vandenberghe, RE; Barrero, CA; Da Costa, GM; Van San, Erwin; De Grave, Eddy; ",Hyperfine Interactions,126,247.0,0304-3843,Mössbauer characterization of iron oxides and (oxy) hydroxides: the present state of the art,,,GES: Estado Sólido,Not DOI,,,Barrero Meneses César A.,C,"-1,0",,13.0,Barrero Meneses César A.,2000,Internacional,"Vandenberghe, RE; Barrero, CA; Da Costa, GM; Van San, Erwin; De Grave, Eddy; ",Mössbauer characterization of iron oxides and (oxy) hydroxides: the present state of the art,126,247.0,Hyperfine Interactions,GES: Estado Sólido,C,"-1,0",Experimental,122,mssbauercharacterizationofironoxidesandoxyhydroxidesthepresentstateoftheart,Desconocido
2007,Internacional,"Nomura, K; Barrero, CA; Sakuma, J; Takeda, M; ",Physical Review B,75,184411.0,1098-0121,Room-temperature ferromagnetism of sol-gel-synthesized Sn 1− x Fe x 57 O 2− δ powders,,,GES: Estado Sólido,10.1103/physrevb.75.184411,,,Barrero Meneses César A.,A1,"3,322",,-1.0,Barrero Meneses César A.,2007,Internacional,"Nomura, K; Barrero, CA; Sakuma, J; Takeda, M; ",Room-temperature ferromagnetism of sol-gel-synthesized Sn 1− x Fe x 57 O 2− δ powders,75,184411.0,Physical Review B,GES: Estado Sólido,A1,"3,322",Experimental,72,roomtemperatureferromagnetismofsolgelsynthesizedsn1xfex57o2powders,Desconocido
1999,Internacional,"Barrero, CA; Vandenberghe, RE; De Grave, Eddy; ",Hyperfine Interactions,122,39.0,0304-3843,The effect of Al-content and crystallinity on the magnetic properties of goethites,,,GES: Estado Sólido,Not DOI,,,Barrero Meneses César A.,C,"-1,0",,8.0,Barrero Meneses César A.,1999,Internacional,"Barrero, CA; Vandenberghe, RE; De Grave, Eddy; ",The effect of Al-content and crystallinity on the magnetic properties of goethites,122,39.0,Hyperfine Interactions,GES: Estado Sólido,C,"-1,0",Experimental,27,theeffectofalcontentandcrystallinityonthemagneticpropertiesofgoethites,Desconocido
2006,Internacional,"Barrero, CA; Betancur, JD; Greneche, JM; Goya, GF; Berquó, TS; ",Geophysical Journal International,164,331.0,0956-540X,Magnetism in non-stoichiometric goethite of varying total water content and surface area,,,GES: Estado Sólido,10.1111/j.1365-246X.2006.02850.x,,,Barrero Meneses César A.,A1,"2,219",,9.0,Barrero Meneses César A.,2006,Internacional,"Barrero, CA; Betancur, JD; Greneche, JM; Goya, GF; Berquó, TS; ",Magnetism in non-stoichiometric goethite of varying total water content and surface area,164,331.0,Geophysical Journal International,GES: Estado Sólido,A1,"2,219",Experimental,32,magnetisminnonstoichiometricgoethiteofvaryingtotalwatercontentandsurfacearea,Desconocido
2001,Internacional,"Barrero, CA; Ocampo, LM; Arroyave, CE; ",Corrosion Science,43,1003.0,0010-938X,Possible improvements in the action of some rust converters,,,GES: Estado Sólido,10.1016/S0010-938X(00)00139-6,,,Barrero Meneses César A.,A1,"2,293",,16.0,Barrero Meneses César A.,2001,Internacional,"Barrero, CA; Ocampo, LM; Arroyave, CE; ",Possible improvements in the action of some rust converters,43,1003.0,Corrosion Science,GES: Estado Sólido,A1,"2,293",Experimental,36,possibleimprovementsintheactionofsomerustconverters,Desconocido
2007,Internacional,"Sanchez, LC; Arboleda, JD; Saragovi, C; Zysler, RD; Barrero, CA; ",Physica B,389,145.0,0921-4526,Magnetic and structural properties of pure hematite submitted to mechanical milling in air and ethanol,,,GES: Estado Sólido,10.1016/j.physb.2006.07.042,,,Barrero Meneses César A.,A1,"0,822",,5.0,Barrero Meneses César A.,2007,Internacional,"Sanchez, LC; Arboleda, JD; Saragovi, C; Zysler, RD; Barrero, CA; ",Magnetic and structural properties of pure hematite submitted to mechanical milling in air and ethanol,389,145.0,Physica B,GES: Estado Sólido,A1,"0,822",Experimental,32,magneticandstructuralpropertiesofpurehematitesubmittedtomechanicalmillinginairandethanol,Luis Carlos Sánchez Pacheco
2007,Internacional,"Sakuma, Junko; Nomura, Kiyoshi; Barrero, Cesar; Takeda, Masuo; ",Thin Solid Films,515,8653.0,0040-6090,Mössbauer studies and magnetic properties of SnO 2 doped with 57 Fe,,,GES: Estado Sólido,10.1016/j.tsf.2007.03.123,,,Barrero Meneses César A.,A1,"-1,0",,3.0,Barrero Meneses César A.,2007,Internacional,"Sakuma, Junko; Nomura, Kiyoshi; Barrero, Cesar; Takeda, Masuo; ",Mössbauer studies and magnetic properties of SnO 2 doped with 57 Fe,515,8653.0,Thin Solid Films,GES: Estado Sólido,A1,"-1,0",Experimental,30,mssbauerstudiesandmagneticpropertiesofsno2dopedwith57fe,Desconocido
2004,Internacional,"Betancur, JD; Barrero, CA; Greneche, JM; Goya, GF; ",Journal of Alloys and Compounds,369,247.0,0925-8388,The effect of water content on the magnetic and structural properties of goethite,,,GES: Estado Sólido,10.1016/j.jallcom.2003.09.046,,,Barrero Meneses César A.,A1,"1,51",,5.0,Barrero Meneses César A.,2004,Internacional,"Betancur, JD; Barrero, CA; Greneche, JM; Goya, GF; ",The effect of water content on the magnetic and structural properties of goethite,369,247.0,Journal of Alloys and Compounds,GES: Estado Sólido,A1,"1,51",Experimental,19,theeffectofwatercontentonthemagneticandstructuralpropertiesofgoethite,Juan David Betancur Rios
2008,Internacional,"Rykov, AI; Nomura, K; Sakuma, J; Barrero, C; Yoda, Y; Mitsui, T; ",Physical Review B,77,14302.0,1098-0121,Dilution and clustering of Fe in the rutile phases of TiO 2 and SnO 2,,,GES: Estado Sólido,10.1103/physrevb.77.014302,,,Barrero Meneses César A.,A1,"3,322",,-1.0,Barrero Meneses César A.,2008,Internacional,"Rykov, AI; Nomura, K; Sakuma, J; Barrero, C; Yoda, Y; Mitsui, T; ",Dilution and clustering of Fe in the rutile phases of TiO 2 and SnO 2,77,14302.0,Physical Review B,GES: Estado Sólido,A1,"3,322",Experimental,31,dilutionandclusteringoffeintherutilephasesoftio2andsno2,Desconocido
