Article,Cites,Year
"Mineralogical Characterization of Chalcopyrite BioleachingER Mejía, JD Ospina, L Osorno, MA Márquez, AL Morales",,2015
"Understanding the role of iron in the magnetism of Fe doped ZnO nanoparticlesJJ Beltrán, CA Barrero, A Punnoose
Physical Chemistry Chemical Physics 17 (23), 15284-15296",2,2015
"Measurement of nonlinear optical Absorption and non-linear optical refraction in CdS and ZnSe using an electrically focus-tunable lensJ Serna, A Hamad, H Garcia, E Rueda
International Conference on Fibre Optics and Photonics, T2C. 2",,2014
"Impurity-related nonlinear optical properties in delta-doped quantum rings: Electric field effectsRL Restrepo, AL Morales, JC Martínez-Orozco, HM Baghramyan, ...
Physica B: Condensed Matter 453, 140-145",4,2014
"The effect of spatial resolution on optical and near-IR studies of stellar clusters: implications for the origin of the red excessN Bastian, A Adamo, M Schirmer, K Hollyhead, Y Beletsky, G Carraro, ...
Monthly Notices of the Royal Astronomical Society 444 (4), 3829-3836",4,2014
"Nonlinear optical properties of bulk cuprous oxide using single beam Z-scan at 790 nmJ Serna, E Rueda, H García
Applied Physics Letters 105 (19), 191902",,2014
"Direct experimental determination of spectral densities of molecular complexesLA Pachón, P Brumer
The Journal of chemical physics 141 (17), 174102",7,2014
"Alonso Sepúlveda: Carta astral de un escépticoAR Jiménez
Revista Universidad de Antioquia",,2014
"Synchronization in a semiclassical Kuramoto modelIH de Mendoza, LA Pachón, J Gómez-Gardeñes, D Zueco
Physical Review E 90 (5), 052904",9,2014
"Synchronization in a semiclassical Kuramoto modelIH de Mendoza, LA Pachón, J Gómez-Gardeñes, D Zueco
Physical Review E 90 (5), 052904",9,2014
"Electron-related linear and nonlinear optical responses in vertically coupled triangular quantum dotsJC Martínez-Orozco, ME Mora-Ramos, CA Duque
Physica B: Condensed Matter 452, 82-91",8,2014
"Exciton-related nonlinear optical response and photoluminescence in dilute nitrogen InxGa1− xNyAs1− y/GaAs cylindrically shaped quantum dotsCM Duque, AL Morales, ME Mora-Ramos, CA Duque
Journal of Luminescence 154, 559-568",7,2014
"¿ Es posible divulgar la ciencia?G Pineda
Revista Universidad de Antioquia",,2014
"Circular dichroism in molecular-frame photoelectron angular distributions in the dissociative photoionization of H 2 and D 2 moleculesJF Pérez-Torres, JL Sanz-Vicario, K Veyrinas, P Billaud, YJ Picard, ...
Physical Review A 90 (4), 043417",4,2014
"Quantum nonlinear optics with polar J-aggregates in microcavitiesF Herrera, B Peropadre, LA Pachon, SK Saikin, A Aspuru-Guzik
The journal of physical chemistry letters 5 (21), 3708-3715",5,2014
"Tidal, thermal and magnetic evolution of terrestrial exoplanets in the habitable zone of dwarf starsP Cuartas-Restrepo, M Melita, J Zuluaga, J Hoyos, M Sucerquia
Revista Mexicana de Astronomia y Astrofisica Conference Series 44, 130-130",,2014
"Impurity binding energy for δ-doped quantum well structuresV Tulupenko, CA Duque, R Demediuk, O Fomina, V Akimov, V Belykh, ...
Bulletin of Materials Science 37 (6), 1347-1351",,2014
"Three predictions: Comet 67P/Churyumov–Gerasimenko, comet C/2012 K1 PANSTARRS, and comet C/2013 V5 OukaimedenI Ferrín
Planetary and Space Science 99, 171-175",,2014
"Donor impurity states and related optical responses in triangular quantum dots under applied electric fieldE Kasapoglu, F Ungan, H Sari, I Sökmen, ME Mora-Ramos, CA Duque
Superlattices and Microstructures 73, 171-184",19,2014
"Donor-impurity related photoionization cross section in GaAs/Ga1− xAlxAs concentric double quantum rings: Effects of geometry and hydrostatic pressureHM Baghramyan, MG Barseghyan, AA Kirakosyan, D Laroze, CA Duque
Physica B: Condensed Matter 449, 193-198",2,2014
"Formation, habitability, and detection of extrasolar moonsR Heller, D Williams, D Kipping, MA Limbach, E Turner, R Greenberg, ...
Astrobiology 14 (9), 798-835",24,2014
"Shot noise and thermopower in aromatic moleculesJH Ojeda, CA Duque, D Laroze
Physica E: Low-dimensional Systems and Nanostructures 62, 15-20",2,2014
"Experimental scrambling and noise reduction applied to the optical encryption of QR codesJF Barrera, A Vélez, R Torroba
Optics express 22 (17), 20268-20277",10,2014
"The location of Oort Cloud comets C/2011 L4 Panstarrs and C/2012 S1 ISON on a comet evolutionary diagramI Ferrín
Monthly Notices of the Royal Astronomical Society 442 (2), 1731-1754",6,2014
